treecode,genus,species,dbh,crownNSm,crownEWm,height,lat,lon,photoPath
A01,Liquidambar,styraciflua,36.5,4.4,4.1,12.8,34.07231473,-117.3872395,photos/rutcol/A01.webp
A02,Liquidambar,styraciflua,44.9,6.9,6.8,14.7,34.07230613,-117.3871296,photos/rutcol/A02.webp
A03,Liquidambar,styraciflua,48.5,7.4,7.3,15.1,34.07235115,-117.387041,photos/rutcol/A03.webp
A04,Magnolia,grandiflora,28,7.3,7.2,9.8,34.07241234,-117.3868034,photos/rutcol/A04.webp
A05,Acer,saccharinum,22.5,5.7,5.3,10.5,34.07230203,-117.3868061,photos/rutcol/A05.webp
A06,Fraxinus,uhdei,67,15,15.5,17.8,34.0720787,-117.3871314,photos/rutcol/A06.webp
A07,Fraxinus,uhdei,67,12,11.6,16.6,34.07184132,-117.38757,photos/rutcol/A07.webp
A08,Morus,alba,47,8.6,7.7,12.1,34.07177069,-117.3873981,photos/rutcol/A08.webp
A09,Morus,alba,52,11.3,7.5,10.5,34.07177182,-117.3873236,photos/rutcol/A09.webp
A10,Morus,alba,31,9.6,11.9,11.3,34.0718202,-117.3871734,photos/rutcol/A10.webp
A11,Cupaniopsis,anacardioides,45,8.2,8.1,10.7,34.07171464,-117.3869179,photos/rutcol/A11.webp
A12,Cupaniopsis,anacardioides,65,10.7,8.4,10.5,34.07176143,-117.3867337,photos/rutcol/A12.webp
A13,Magnolia,grandiflora,58,9,7.5,14.3,34.07153003,-117.3867978,photos/rutcol/A13.webp
A14,Magnolia,grandiflora,37,8.2,7.8,12.7,34.071537,-117.3867004,photos/rutcol/A14.webp
A15,dead,,,,,,34.07286161,-117.3873746,photos/rutcol/A15.webp
A16,Lagerstroemia,cvs.,19,4.4,5,5.4,34.07293605,-117.3874682,photos/rutcol/A16.webp
A17,Lagerstroemia,cvs.,25,7,5.4,5.6,34.0730238,-117.387475,photos/rutcol/A17.webp
A18,Morus,alba,55,8,9.4,9.3,34.07310549,-117.3871358,photos/rutcol/A18.webp
A19,Geijera,parviflora,6.5,2.3,1.8,3.7,34.07290759,-117.3866363,photos/rutcol/A19.webp
A20,Geijera,parviflora,4.5,1.9,1.7,3.7,34.07286691,-117.3866414,photos/rutcol/A20.webp
A21,Geijera,parviflora,5.2,1.8,1.8,3.4,34.07279585,-117.3866354,photos/rutcol/A21.webp
A22,Lagerstroemia,cvs.,5.1,1.8,1.8,3.6,34.07276278,-117.3865258,photos/rutcol/A22.webp
A23,Lagerstroemia,cvs.,5.2,1.8,1.9,3.9,34.07276162,-117.3864183,photos/rutcol/A23.webp
A24,Lagerstroemia,cvs.,5.4,1.6,1.9,3.1,34.07275978,-117.3863367,photos/rutcol/A24.webp
A25,Lagerstroemia,cvs.,5.5,1.6,2.1,3.3,34.07276194,-117.3862522,photos/rutcol/A25.webp
A26,Geijera,parviflora,4.8,0.9,1.6,3.4,34.07287945,-117.3858822,photos/rutcol/A26.webp
A27,Geijera,parviflora,6.3,1.9,1.8,3.2,34.07283049,-117.3858827,photos/rutcol/A27.webp
A28,Geijera,parviflora,5.5,1.5,1.7,3.2,34.07277806,-117.3858824,photos/rutcol/A28.webp
A29,Geijera,parviflora,4.5,1.7,1.6,3.1,34.07275073,-117.3858283,photos/rutcol/A29.webp
A30,Geijera,parviflora,4.5,1.7,1.8,3.3,34.07275711,-117.3856869,photos/rutcol/A30.webp
A31,Geijera,parviflora,5,1.7,1.4,3.3,34.07277983,-117.3855912,photos/rutcol/A31.webp
A32,Geijera,parviflora,4.2,1.7,1.5,3.3,34.07283338,-117.3855894,photos/rutcol/A32.webp
A33,Geijera,parviflora,4.2,1.4,1.8,3.7,34.07288304,-117.3855912,photos/rutcol/A33.webp
A34,Fraxinus,uhdei,103.3,15.3,14.6,17.6,34.07184966,-117.3857152,photos/rutcol/A34.webp
B01,Lagerstroemia,cvs.,37,8.8,7.8,9..4,34.07210567,-117.3873664,photos/rutcol/B01.webp
B02,Lagerstroemia,cvs.,28,8.6,7,8.6,34.07205288,-117.3874362,photos/rutcol/B02.webp
